,ISBN,Title,Author,Publishing Date,Category,Description
68,0765306476,Dreamer of Dune,Brian Herbert,2004-07-01,Biography & Autobiography,"Everyone knows Frank Herbert's Dune. This amazing and complex epic, combining politics, religion, human evolution, and ecology, has captured the imagination of generations of readers. One of the most popular science fiction novels ever written, it has become a worldwide phenomenon, winning awards, selling millions of copies around the world. In the prophetic year of 1984, Dune was made into a motion picture directed by David Lynch, and it has recently been produced as a three-part miniseries on the Sci-Fi Channel. Though he is best remembered for Dune, Frank Herbert was the author of more than twenty books at the time of his tragic death in 1986, including such classic novels as The Green Brain, The Santaroga Barrier, The White Plague and Dosadi Experiment. Brian Herbert, Frank Herbert's eldest son, tells the provocative story of his father's extraordinary life in this honest and loving chronicle. He has also brought to light all the events in Herbert's life that would find their way into speculative fiction's greatest epic. From his early years in Tacoma, Washington, and his education at the University of Washington, Seattle, and in the Navy, through the years of trying his hand as a TV cameraman, radio commentator, reporter, and editor of several West Coast newspaper, to the difficult years of poverty while struggling to become a published writer, Herbert worked long and hard before finding success after the publication of Dune in 1965. Brian Herbert writes about these years with a truthful intensity that brings every facet of his father's brilliant, and sometimes troubled, genius to full light. Insightful and provocative, containing family photos never published anywhere, this absorbing biography offers Brian Herbert' unique personal perspective on one of the most enigmatic and creative talents of our time. Dreamer of Dune is a 2004 Hugo Award Nominee for Best Related Work."
69,0399128980,Heretics of Dune,Frank Herbert,1984,Fiction,"Thousands of years after the death of God Emperor Leto II, the Bene Gesserit and the Bene Tleilax struggle to direct the future of Dune, now called Rakis"
70,0765353709,The Road to Dune,Brian Herbert,2006-08-29,Fiction,"A fan's companion to the science fiction classic includes essays; a correspondence between the author and his famous editor; the article, ""They Stopped the Moving Sands,"" which inspired the novel; the short work, ""Spice Planet""; and unpublished chapters from Dune and Dune Messiah. Reprint."
71,0441328008,Heretics of Dune,Frank Herbert,1984,Fiction,"Thousands of years after the death of God Emperor Leto II, the Bene Gesserit and the Bene Tleilax struggle to direct the future of Dune, now called Rakis"
72,0618212906,The Lord of the Rings,Gary Russell,2002,Animated films,"Contains five hundred exclusive images, including pencil sketches and conceptual drawings, which helped shape the film ""The Fellowship of the Ring."""
73,034541005X,The Power of One,Bryce Courtenay,1996-09-29,Fiction,"“The Power of One has everything: suspense, the exotic, violence; mysticism, psychology and magic; schoolboy adventures, drama.” –The New York Times “Unabashedly uplifting . . . asserts forcefully what all of us would like to believe: that the individual, armed with the spirit of independence–‘the power of one’–can prevail.” –Cleveland Plain Dealer In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams–which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives, and the power of one. “Totally engrossing . . . [presents] the metamorphosis of a most remarkable young man and the almost spiritual influence he has on others . . . Peekay has both humor and a refreshingly earthy touch, and his adventures, at times, are hair-raising in their suspense.” –Los Angeles Times Book Review “Marvelous . . . It is the people of the sun-baked plains of Africa who tug at the heartstrings in this book. . . . [Bryce] Courtenay draws them all with a fierce and violent love.” –The Washington Post Book World “Impressive.” –Newsday “A compelling tale.” –The Christian Science Monitor"
74,0385732546,The Power of One,Bryce Courtenay,2005,Apartheid,"Follows Peekay, a white British boy in South Africa during World War II, between the ages of five and eleven, as he survives an abusive boarding school and goes on to succeed in life and the boxing ring, with help from a chicken, a boxer, a pianist, black African prisoners, and many others."
75,0785260056,The Power of One,John C. Maxwell,2004,Business ethics,"This 30-day companion workbook explores one simple idea: if you faithfully follow the Golden Rule for 30 days, your business, community, and family--every relationship in your life, in fact--can be transformed."
76,0471780936,Power of An Hour,Dave Lakhani,2006-05-19,Business & Economics,"Praise for The Power of an Hour ""The master at getting what you want from others now tells us how to get what we want from ourselves! This is really a great book, and I recommend it highly-for you, for your team, and for your children."" -Bob Burg, author, Endless Referrals ""If you want to make predictable, systematic change in your life or your business, buy this book. Each chapter is a stand-alone system that results in powerful change . . . fast."" -David Hancock, The Entrepreneurial Publisher, CEO, Morgan James Publishing ""Dave's methods helped me take my business from $0 to $10 million in sales.If you're a creative business owner who wants total focus and massive success, run, don't walk, and get this book!"" -Stephanie Frank, author, The Accidental Millionaire ""The Power of an Hour is a mighty powerful way to sort out your financesby first sorting out yourself!"" -Mark Joyner, #1 bestselling author, The Irresistible Offer ""The disease of the twenty-first century, no matter who you are or what you do,is Time Deficit Disorder. Dave Lakhani offers a brilliant solution in this book.Get it and take the cure-you'll be surprised how much better you feel!"" -David Garfinkel, author, Customers on Demand"
77,0325001537,The Power of One,Louis E. Catron,2000,Monodramas,"This book demonstrates techniques of writing, acting, and directing that encourage the reader to create a personal theatrical experience."
78,006076287X,"How to Buy, Sell, and Profit on eBay",Adam Ginsberg,2010-09-07,Business & Economics,"A lively insider's guide to starting a successful small business selling items old and new on eBay, written with personal anecdotes, well–kept secrets, and insider tips by Adam Ginsberg, eBay's most successful private salesperson. This is the insider's guide to making money on eBay. Adam Ginsberg is the most successful seller on eBay, moving around a million dollars' worth of merchandise every month. Not only will he impart his personal secrets on how to sell on eBay –learned through years of experience – and his tips on expanding your small business using eBay as a global market, but he'll also give fun side–notes and anecdotes, keeping the book lively and making it a fun and interesting read. This book will be a must–have for all current and aspiring eBay sellers, all small–business owners, and anyone who wants to learn how to start a million–dollar company."
